SMILES,SA,logp,score
O=C(NC(=S)Nc1ccc(NC(=O)c2ccccc2)cc1)c1ccc(Cl)cc1,1.699331199,4.7191,3.019768801
Cn1c(=O)[nH]c(=O)c2[nH]c(CCC(=O)Nc3ccc4c(c3)Cc3ccccc3-4)nc21,2.5393599,2.0924,-0.4469599
C[NH2+][C@H](c1ccc(-c2ccccc2)cc1)[C@@H]1CSCCO1,3.738862132,2.7199,-1.018962132
Nc1ccc(OCc2nccs2)cc1Cl,2.237534192,2.9577,0.720165808
CC(C)c1ccccc1NC(=O)[C@H](C)Nc1ccc2c(c1)oc(=O)n2C,2.689055637,3.694,1.004944363
CCOC(=O)c1sc2ncnc(Cl)c2c1C,2.289261063,2.82982,0.540558937
C[C@H]1C[C@H](Nc2nc3ccc([N+](=O)[O-])cc3o2)CC[C@H]1C,3.435912865,3.9726,0.536687135
CCc1c([O-])nc([C@](C)([NH3+])CC)[nH]c1=O,4.634723764,-0.727,-5.361723764
c1ccc(-n2ncc3c(NC4CCCCCC4)ncnc32)cc1,2.109691612,3.9502,1.840508388
Cc1cccc([C@@H](NC(=O)Cc2cccc(OCC#N)c2)C(C)(C)C)c1,2.719149868,4.3435,1.624350132
CC(C)CCn1cc(C(=O)[O-])c(-c2ccoc2)n1,3.080399118,1.5527,-1.527699118
C[C@H](OC(=O)/C=C/c1ccc2ccccc2n1)[C@H]1CCCO1,3.235071056,3.3587,0.123628944
CCOc1cccc2sc(N(Cc3ccccc3)C(=O)[C@H]3CCCCN3S(C)(=O)=O)nc12,2.840790088,4.0423,1.201509912
Cc1cccc(OCC(=O)NC[C@@H](c2cccs2)[NH+]2CCCCCC2)c1C,3.742652701,3.06014,-0.682512701
COc1ccc([C@@H](C)[NH+](C)CC(=O)N(C)C2(C#N)CCCCC2)cc1,4.027734846,1.95578,-2.071954846
O=C(CN1C(=O)N[C@H](CCc2ccccc2)C1=O)Nc1cccnc1Cl,2.631798049,2.2267,-0.405098049
CC(C)[C@@H](NC(=O)CN1C(=O)N[C@H](Cc2c[nH]c3ccccc23)C1=O)c1ccc(F)cc1,3.136715787,3.2834,0.146684213
CN[C@]1(C#N)CCC[C@H]1CCN(C)C1CC[NH+](C)CC1,5.204590005,0.26728,-4.937310005
