train,val,test
957,392.0,654.0
223,588.0,430.0
916,538.0,317.0
410,903.0,629.0
287,923.0,927.0
496,677.0,641.0
456,144.0,518.0
589,83.0,645.0
151,385.0,649.0
10,996.0,504.0
7,506.0,716.0
180,205.0,557.0
769,161.0,931.0
389,746.0,804.0
304,99.0,30.0
867,444.0,836.0
177,814.0,469.0
79,984.0,448.0
937,292.0,863.0
494,377.0,412.0
771,986.0,61.0
587,864.0,805.0
552,966.0,326.0
881,974.0,520.0
808,106.0,263.0
186,670.0,874.0
925,238.0,920.0
268,995.0,226.0
108,387.0,749.0
717,696.0,724.0
37,871.0,583.0
47,515.0,928.0
258,596.0,117.0
173,801.0,459.0
979,301.0,633.0
846,420.0,239.0
578,688.0,421.0
320,572.0,484.0
69,451.0,399.0
221,318.0,886.0
96,87.0,133.0
732,672.0,759.0
303,944.0,774.0
48,891.0,523.0
455,311.0,103.0
140,297.0,610.0
734,776.0,743.0
138,972.0,104.0
699,548.0,574.0
706,152.0,204.0
713,418.0,822.0
705,214.0,989.0
230,254.0,620.0
134,709.0,648.0
551,164.0,66.0
92,835.0,75.0
890,395.0,929.0
185,539.0,184.0
691,445.0,712.0
31,573.0,98.0
195,894.0,997.0
630,852.0,94.0
447,893.0,959.0
967,673.0,728.0
280,819.0,689.0
813,829.0,323.0
788,711.0,658.0
432,750.0,722.0
876,153.0,305.0
766,524.0,600.0
764,800.0,23.0
135,279.0,76.0
12,700.0,73.0
136,71.0,740.0
406,942.0,482.0
267,935.0,773.0
234,854.0,208.0
531,59.0,985.0
274,124.0,812.0
938,913.0,122.0
512,591.0,398.0
353,693.0,726.0
127,790.0,380.0
737,54.0,293.0
401,283.0,429.0
121,492.0,747.0
563,702.0,906.0
694,954.0,316.0
176,360.0,842.0
25,624.0,145.0
187,898.0,302.0
434,719.0,781.0
828,628.0,65.0
113,232.0,388.0
199,537.0,314.0
227,60.0,825.0
411,206.0,536.0
590,567.0,787.0
581,878.0,495.0
697,383.0,89.0
147,683.0,331.0
798,806.0,338.0
918,49.0,656.0
751,993.0,350.0
415,85.0,485.0
692,150.0,840.0
120,64.0,760.0
686,980.0,41.0
466,356.0,261.0
517,735.0,855.0
101,486.0,439.0
528,883.0,503.0
845,18.0,38.0
644,879.0,202.0
698,478.0,519.0
501,336.0,625.0
86,40.0,105.0
224,472.0,763.0
422,522.0,493.0
15,276.0,405.0
767,397.0,950.0
193,192.0,156.0
437,889.0,351.0
376,638.0,603.0
910,549.0,461.0
288,680.0,919.0
171,381.0,765.0
