mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_1,C,157.7118,157.70997,157.70699,0,13.21,-0.3877,0.1171,0.5048,35.3641,0.044749,-40.47893,-40.476062,-40.475117,-40.498597,6.469,-395.999594594,-398.643290011,-401.014646522,-372.471772148
gdb_2,N,293.60975,293.54111,191.39397,1.6256,9.46,-0.257,0.0829,0.3399,26.1563,0.034358,-56.525887,-56.523026,-56.522082,-56.544961,6.316,-276.861363363,-278.62027109,-280.399259105,-259.338802047
gdb_3,O,799.58812,437.90386,282.94545,1.8511,6.31,-0.2928,0.0687,0.3615,19.0002,0.021375,-76.404702,-76.401867,-76.400922,-76.422349,6.002,-213.087623693,-213.97429391,-215.159658411,-201.407171167
gdb_4,C#C,0,35.6100361,35.6100361,0,16.28,-0.2845,0.0506,0.3351,59.5248,0.026841,-77.308427,-77.305527,-77.304583,-77.327429,8.574,-385.501996533,-387.237686427,-389.016046933,-365.800723969
gdb_5,C#N,0,44.593883,44.593883,2.8937,12.99,-0.3604,0.0191,0.3796,48.7476,0.016601,-93.411888,-93.40937,-93.408425,-93.431246,6.278,-301.820533838,-302.906751917,-304.091488909,-288.720028445
gdb_6,C=O,285.48839,38.9823,34.29892,2.1089,14.18,-0.267,-0.0406,0.2263,59.9891,0.026603,-114.483613,-114.480746,-114.479802,-114.505268,6.413,-358.756935444,-360.512705626,-362.291066132,-340.464420585
gdb_59880,CC(C)NC(=O)C1CC1,3.86906,0.78331,0.75776,3.2728,85.74,-0.2412,0.0361,0.2772,1652.3265,0.193066,-404.384586,-404.374176,-404.373232,-404.423116,37.645,-2074.038354237,-2087.058538478,-2099.506434511,-1928.596828253
gdb_27544,NC1=CC(=CO1)C1CN1,5.28086,0.93524,0.83626,2.643,76.28,-0.1898,0.033,0.2228,1354.0962,0.137619,-418.000163,-417.991915,-417.990971,-418.033721,30.896,-1684.890530414,-1694.823997884,-1704.306913892,-1569.448327193
gdb_28971,Cc1c(cncn1)C#C,2.96276,1.54033,1.0198,2.2352,83.5,-0.2504,-0.0518,0.1986,1102.8906,0.113001,-379.702572,-379.694552,-379.693608,-379.735453,29.445,-1635.167972272,-1643.468033815,-1651.764957813,-1532.927930902
gdb_91391,CC1CC2CC(C1)C2=O,2.74817,1.31124,1.30921,2.8552,81.78,-0.2302,-0.0057,0.2245,1129.9283,0.184568,-387.115605,-387.107588,-387.106644,-387.147873,32.117,-2054.1971471661,-2067.8310352091,-2079.685935237,-1911.8197476291
gdb_132952,FC1=CNC=C(F)C1=N,2.39575,1.72903,1.00425,6.3056,67.36,-0.2002,-0.017,0.1831,1040.618,0.089505,-502.014824,-502.007532,-502.006588,-502.046592,27.8,-1364.63754721,-1371.6160747991,-1378.727006787,-1274.732450253
gdb_9122,CCC#CC(=O)CC,5.19635,0.78533,0.69386,3.5498,79.98,-0.2517,-0.0422,0.2095,1650.9158,0.150747,-347.807845,-347.797844,-347.796899,-347.846483,33.437,-1765.265648188,-1774.9882726341,-1785.064184647,-1649.383561158
gdb_93752,CC1CCC(C)=C1C=O,1.95103,1.61352,0.99057,3.6944,88.48,-0.2411,-0.0492,0.1919,1262.5264,0.181787,-387.136409,-387.12688,-387.125936,-387.170663,35.18,-2067.2518444021,-2079.9369388371,-2091.791838865,-1926.1206777391
