mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_52055,O=CCCC1(CO1)C#N,2.93044,0.88949,0.73822,4.642,70.72,-0.2634,-0.0345,0.2289,1476.5776,0.121501,-437.878673,-437.869414,-437.86847,-437.914344,31.714,-1620.9254004991,-1629.335903626,-1638.225823629,-1513.5466879281
gdb_124237,Cc1cnoc1C(=O)C,2.57005,1.56244,0.98349,1.0102,74.39,-0.2637,-0.0695,0.1942,1156.9487,0.122731,-437.911744,-437.902926,-437.901982,-437.946141,30.809,-1641.6777506381,-1650.364985234,-1659.254905237,-1533.4995916011
gdb_97082,CN=C1NC(CO1)C#C,3.35174,1.07407,0.9934,2.8467,78.05,-0.2235,0.0247,0.2482,1261.6948,0.135754,-417.983779,-417.974771,-417.973827,-418.01842,32.233,-1674.609422958,-1684.065983588,-1693.548899596,-1559.846811984
gdb_109845,COC1C(C)C1NC=O,2.28534,1.12819,0.88828,3.7292,78.59,-0.2298,0.0327,0.2625,1381.1596,0.169098,-440.281803,-440.27158,-440.270636,-440.318116,35.757,-1873.2078638411,-1884.5676592681,-1895.829563291,-1739.490088504
gdb_74243,NC1=[NH+][C-](C#N)C(=O)N1,2.91091,1.31681,0.90741,11.4032,73.29,-0.1831,-0.0107,0.1724,1171.5363,0.090571,-448.972918,-448.964645,-448.963701,-449.005803,30.219,-1370.928324935,-1377.2906386861,-1384.401570674,-1281.189517863
gdb_120596,COCC1NC1(C)C#N,3.87475,0.77397,0.7213,3.7053,78.9,-0.2673,0.0155,0.2829,1612.6522,0.157442,-419.183705,-419.173592,-419.172648,-419.219473,35.283,-1799.722167378,-1810.2624360511,-1820.931344069,-1672.295797275
gdb_89080,CC1CC1COCC#N,5.33018,0.60297,0.57155,4.8079,81.88,-0.2776,0.0119,0.2895,1929.1537,0.169215,-403.133856,-403.123794,-403.12285,-403.170393,35.139,-1917.045642581,-1928.507094466,-1939.768998489,-1783.724452932
gdb_124921,Cc1c(c(no1)O)C#N,2.02976,1.90949,0.98996,2.7857,67.63,-0.2738,-0.0434,0.2304,1096.5167,0.089075,-452.767429,-452.759404,-452.75846,-452.800452,28.566,-1402.8572378731,-1409.3758013651,-1416.4867333531,-1313.565217209
gdb_47785,O=C1OCCOC1C#C,2.27687,1.72389,1.18394,3.6345,67.05,-0.2592,-0.0069,0.2523,1036.8133,0.112049,-457.745847,-457.737816,-457.736872,-457.778893,29.488,-1549.8468285601,-1558.1393599951,-1566.436283993,-1447.558468997
gdb_116234,CCC1OCOC1=NC,2.66623,1.19728,0.89346,1.2907,78.34,-0.2517,0.0242,0.276,1360.8025,0.170136,-440.301409,-440.291668,-440.290724,-440.336906,34.028,-1885.5108052951,-1897.17306006,-1908.434964083,-1751.280982614
gdb_30620,CNC(=N)c1cocn1,4.43313,1.04825,0.85227,2.5955,73.57,-0.215,-0.0213,0.1937,1300.679,0.125571,-434.103482,-434.094782,-434.093837,-434.139053,30.212,-1601.119961441,-1609.88061459,-1618.769907084,-1493.318307804
gdb_101242,CC(CO)C1CC1(C)O,2.57453,0.95839,0.82887,1.0547,82.63,-0.2476,0.0757,0.3234,1503.0893,0.202625,-425.4111,-425.40013,-425.399186,-425.44685,40.768,-2102.604446444,-2116.161778389,-2129.202670427,-1948.785047801
gdb_127697,CC(=O)c1nnn(n1)C,4.4033,1.09935,0.88946,2.8722,70.01,-0.2587,-0.0597,0.199,1260.7878,0.11201,-450.134341,-450.12571,-450.124766,-450.16871,29.297,-1471.880090328,-1479.794861345,-1488.091785343,-1369.70154484
gdb_109507,CCC1C(C#C)C1(C)O,1.83183,1.39361,1.00623,0.8938,85.93,-0.229,0.0496,0.2786,1311.7352,0.178808,-387.052225,-387.041664,-387.04072,-387.087321,39.503,-2014.4256267461,-2026.4631318931,-2038.318031921,-1873.822822661
gdb_119144,CCCC1(CN1)C(C)O,2.2111,1.00742,0.86839,2.3011,85.19,-0.2375,0.0747,0.3121,1524.4878,0.215816,-405.526894,-405.515944,-405.515,-405.563074,40.351,-2162.9952850951,-2177.4537199641,-2191.087608007,-2002.708151189
gdb_27869,OC1=NC(O)=NC(=N)N1,2.05531,2.00484,1.01488,2.1159,64.5,-0.231,-0.0239,0.2071,1059.8776,0.092776,-486.143708,-486.136732,-486.135788,-486.175265,26.842,-1341.424734282,-1348.600299697,-1355.711231685,-1250.596571586
