SMILES,logp
Cc1cccc(COC(=O)Nc2ccc(-c3cn[nH]c3)cc2OCCN2CCCC2)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,5.87502
CCC(C)C1=C(C=CC=C1)OCCC[N]2C=CN=C2.O=C(O)C(=O)O,3.0213
CCc1ccc(C(=O)/C(=C(/S)NC2CC2)[n+]2ccc(CC)cc2)cc1,3.7897
C=CCOc1ccc(C(F)(F)F)cc1C(=O)NC[C@H]1CCC[C@H]1O,3.161
COc1cc(OC)cc([C@@H](NC(=O)Cn2ccccc2=O)c2nccn2C)c1,1.5048
CN1CCC[C@@]2(CCN(C(=O)CN3CCNC(=O)C3)C2)C1=O,-1.1109
COc1ccc(Cl)cc1NC(=O)c1nn(C)cc1[N+](=O)[O-],2.2426
Cc1nn(-c2ccccc2)c(O)c1/C=[NH+]/Cc1ccncc1,0.98102
C=CCN1C(=O)C(C)(C)COc2ccc(NC(=O)C3(c4ccc(OC)cc4)CCOCC3)cc21,4.3197
CON(C)C(=O)c1cnn2c(C)cc(C)nc12,0.97954
NC(=O)[C@@H](NC(=O)CCCc1cccs1)c1ccccc1,2.4136
COc1cccc(CN2CCC[NH+](CC(=O)Nc3ccc(F)cc3)S2(=O)=O)c1,0.8084
Cc1ccc(-c2nc3ccc(C)c(C)c3[nH]2)nc1,3.55016
Cc1n[nH]c(SCC(=O)Nc2cccc(C#Cc3ccccn3)c2)n1,2.63872
COC(=O)c1cncc(C(=O)Nc2cccc(COC(C)C)c2)c1,3.0455
Cc1ccc(C)c(Oc2ccc(CNC(=O)N3CCCSCC3)cn2)c1,4.13924
CC[NH2+][C@@]1(C(=O)[O-])CCC[C@H](Oc2ccc(CC)cc2)C1,0.6424
CC(=O)N1c2ccc(S(=O)(=O)N3CCCC3)cc2C[C@H]1C(=O)NCC[NH+](C)C1CCCCC1,0.7123
C=CCN1CC(=O)N2[C@@H](Cc3c([nH]c4ccccc34)[C@@H]2c2ccccc2OC)C1=O,3.0474
COc1ccc(-c2noc3ncnc(N4CCC[C@H](C(=O)[O-])C4)c23)cc1,1.2597
N#Cc1cc(NC(=O)Cc2ccccc2Cl)ccc1N1CCC(O)CC1,3.35398
Cc1ncc(-c2ccc(S(=O)(=O)NC3CCCCCC3)s2)o1,3.71262
Cc1ccc(NC(=O)c2ccc(F)cc2F)cc1S(=O)(=O)Nc1ccc(Cl)cc1,4.97972
CNC(=O)[C@@H]1CCC[NH+]1Cc1ccc(C)c(F)c1,0.42742
CN1C(=O)N[C@@H](c2cccc([N+](=O)[O-])c2)C2=C1CN(c1ccc(F)cc1)C2=O,2.7309
Cc1cc(CC(=O)N[C@H](c2ccc(F)cc2)C2CCC2)no1,3.32222
Cc1cc(N2CCN(CC(=O)NC3CC3)CC2)nc(-c2ccc([N+](=O)[O-])cc2)n1,1.76082
Cc1cc(C(=O)N2CCN(C(=O)N[C@H]3CC(=O)N(C4CC4)C3)CC2)c(C)o1,1.12714
O=c1c2c3nc4ccccc4nc3n(CCC3=CCCCC3)c2ncn1C[C@H]1CCCO1,4.3639
CC[NH+](C/C=C/c1ccc(C#N)cc1)C[C@H](C)C#N,1.63596
COc1c(Cl)cc(C[NH2+][C@@H](Cc2c[nH]c3ccccc23)C(=O)[O-])cc1Cl,1.9079
COc1ccccc1[C@H](C)NC(=O)C[C@H]1C[NH2+]CCO1,0.2247
Cc1ccc(NC(=O)C(=O)NCCc2ccccc2F)c(C)c1,2.73994
